pitime,adc_67_avg,adc_68_avg,adc_69_avg,elec_0_avg,elec_1_avg,elec_2_avg,elec_3_avg,elec_6_avg,flow2,flow3,rh_1,rh_2,rh_3,rh_4,rh5,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9
2021-01-02 00:00:00,514.9,503.1,512.0,0.0,40.6,74.8,51.6,100.1,0.0,0.0,34.7,48.5,99.8,22.8,,60.8,58.5,54.9,33.2,40.1,79.1,51.3,27.4,73.2
2021-01-02 01:00:00,514.9,503.0,512.0,44.6,37.2,63.1,56.9,116.8,0.0,0.0,34.4,48.3,99.9,23.0,,60.9,58.5,54.7,33.1,40.1,79.5,51.0,27.6,73.4
2021-01-02 02:00:00,515.0,503.0,512.0,0.0,35.6,53.0,45.8,121.6,0.0,0.0,34.4,48.4,99.9,22.9,,61.2,58.6,54.8,32.9,40.1,82.0,51.1,27.7,73.3
2021-01-02 03:00:00,515.0,503.1,512.0,40.7,33.4,63.7,51.6,99.1,0.0,0.0,34.2,48.1,99.9,22.9,,61.2,58.6,54.8,32.9,40.1,81.2,51.1,27.7,73.3
2021-01-02 04:00:00,515.0,503.1,512.0,40.8,33.2,92.3,59.8,98.6,2.0,0.0,34.4,48.2,99.9,22.8,,61.2,58.5,54.6,32.8,40.1,80.2,50.5,27.3,73.3
2021-01-02 05:00:00,515.0,503.0,512.0,0.0,33.4,79.7,48.2,103.5,0.0,0.0,34.2,48.2,99.9,22.7,,61.2,58.4,54.5,32.7,40.1,79.8,50.4,27.0,73.3
2021-01-02 06:00:00,515.0,503.2,512.0,43.3,33.4,90.7,62.2,106.2,0.0,0.0,34.4,48.3,99.9,22.8,,61.3,58.5,54.4,32.7,40.1,80.2,50.7,27.4,73.2
2021-01-02 07:00:00,515.0,503.2,512.0,43.4,33.2,90.7,60.3,109.2,0.0,0.0,34.3,48.2,99.9,22.7,,61.4,58.5,54.4,32.7,40.1,80.4,50.9,27.9,73.3
2021-01-02 08:00:00,515.0,503.2,512.0,0.0,33.1,83.4,46.5,107.9,0.0,0.0,34.5,48.3,99.9,22.9,,61.4,58.4,54.5,32.7,40.1,80.4,50.9,28.4,73.3
2021-01-02 09:00:00,515.0,503.2,512.0,46.2,33.0,91.2,57.7,104.4,1.8,0.0,34.3,48.3,99.9,23.0,,61.4,58.5,54.5,32.8,40.1,79.8,50.8,28.3,73.3
2021-01-02 10:00:00,515.0,503.3,512.0,44.3,32.8,91.4,59.9,119.9,0.0,0.0,34.5,48.6,99.9,23.0,,61.2,58.5,54.7,32.9,40.1,80.7,50.5,28.9,73.3
